ci_high,ci_low,mean,method,metric,n
0.6222222222222222,-0.4444444444444444,0.08888888888888889,fixed_prompt,reward,9
0.6666666666666666,0.1111111111111111,0.3333333333333333,fixed_prompt,success,9
0.0,0.0,0.0,fixed_prompt,invalid_move,9
11.222222222222221,7.333333333333333,9.666666666666666,fixed_prompt,turns,9
0.911111111111111,0.4444444444444444,0.7111111111111111,modular_textgrad,reward,9
1.0,0.3333333333333333,0.6666666666666666,modular_textgrad,success,9
0.0,0.0,0.0,modular_textgrad,invalid_move,9
11.444444444444445,7.777777777777778,9.88888888888889,modular_textgrad,turns,9
0.6000000000000001,-0.4444444444444444,0.08888888888888889,scalar_prompt_search,reward,9
0.6666666666666666,0.0,0.3333333333333333,scalar_prompt_search,success,9
0.0,0.0,0.0,scalar_prompt_search,invalid_move,9
12.0,7.333333333333333,9.666666666666666,scalar_prompt_search,turns,9
0.9333333333333333,0.5111111111111111,0.7555555555555555,textgrad_rl_plus,reward,9
1.0,0.3333333333333333,0.6666666666666666,textgrad_rl_plus,success,9
0.0,0.0,0.0,textgrad_rl_plus,invalid_move,9
11.11111111111111,7.111111111111111,9.333333333333334,textgrad_rl_plus,turns,9
