accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,-0.08421052631578947,-0.5982105263157894,2.8,5,1.0,fixed_prompt_slm,test,0.0,real_slm,0.0
False,-0.08526315789473685,-0.5972631578947368,2.4,5,1.0,scalar_prompt_search_slm,train,0.0,real_slm,0.0
True,-0.08526315789473685,-0.5972631578947368,2.4,5,1.0,scalar_prompt_search_slm,train_candidate,0.0,real_slm,0.0
False,0.02947368421052633,-0.48452631578947364,2.8,5,1.0,scalar_prompt_search_slm,val_old,0.0,real_slm,0.0
True,0.02947368421052633,-0.4835263157894737,2.6,5,1.0,scalar_prompt_search_slm,val_candidate,0.0,real_slm,0.0
True,-0.08421052631578947,-0.5972105263157894,2.6,5,1.0,scalar_prompt_search_slm,test,0.0,real_slm,0.0
False,-0.15894736842105264,-0.6719473684210526,2.6,5,1.0,modular_textgrad_slm,train,0.0,real_slm,0.0
False,-0.17894736842105263,-0.6909473684210526,2.4,5,1.0,modular_textgrad_slm,train_candidate,0.0,real_slm,0.0
False,-0.0231578947368421,-0.535157894736842,2.4,5,1.0,modular_textgrad_slm,val_old,0.0,real_slm,0.0
False,-0.06315789473684211,-0.5741578947368421,2.2,5,1.0,modular_textgrad_slm,val_candidate,0.0,real_slm,0.0
False,-0.08421052631578947,-0.5982105263157894,2.8,5,1.0,modular_textgrad_slm,test,0.0,real_slm,0.0
False,-0.021052631578947368,-0.5320526315789473,2.2,5,1.0,textgrad_rl_plus_slm,train,0.0,real_slm,0.0
False,-0.0010526315789473662,-0.5140526315789474,2.6,5,1.0,textgrad_rl_plus_slm,train_candidate,0.0,real_slm,0.0
False,-0.1168421052631579,-0.629842105263158,2.6,5,1.0,textgrad_rl_plus_slm,val_old,0.0,real_slm,0.0
False,-0.1168421052631579,-0.629842105263158,2.6,5,1.0,textgrad_rl_plus_slm,val_candidate,0.0,real_slm,0.0
False,-0.08421052631578947,-0.5982105263157894,2.8,5,1.0,textgrad_rl_plus_slm,test,0.0,real_slm,0.0
False,0.007368421052631591,-0.5066315789473684,2.8,5,1.0,textgrad_policy_iteration_slm,train,0.0,real_slm,0.0
False,0.007368421052631591,-0.5066315789473684,2.8,5,1.0,textgrad_policy_iteration_slm,train_candidate,0.0,real_slm,0.0
False,-0.08421052631578947,-0.5952105263157895,2.2,5,1.0,textgrad_policy_iteration_slm,val_old,0.0,real_slm,0.0
False,-0.08421052631578947,-0.5952105263157895,2.2,5,1.0,textgrad_policy_iteration_slm,val_candidate,0.0,real_slm,0.0
False,-0.08421052631578947,-0.5982105263157894,2.8,5,1.0,textgrad_policy_iteration_slm,test,0.0,real_slm,0.0
